Unnamed: 0,gene symbol,ensembl ID,overallAssociationScore,geneticAssociations,somaticMutations,drugs,pathwaysSystemsBiology,textMining,rnaExpression,animalModels,targetName,Open Targets,Consensus-RNAseq:Low,Proteomics-DB:Low,HPA-Ab:,Mouse Infertility,Druggable,CITDBase,normalized RNA expression,Ovarian stroma cells,Follicle cells
55,TBX19,ENSG00000143178,0.698500391,0.691372687,No data,No data,No data,0.10609349,No data,0.502316513,T-box transcription factor 19,True,,,,,,,2.9,not detected,not detected
56,MAP3K1,ENSG00000095015,0.696262101,0.690087718,No data,No data,No data,No data,No data,0.493950662,mitogen-activated protein kinase kinase kinase 1,True,,,,,,,8.4,low,low
57,SOX3,ENSG00000134595,0.696190501,0.691676073,No data,No data,No data,0.020673886,No data,0.549946691,SRY-box transcription factor 3,True,CTB,—,—,M,—,True,4.7,na,na
58,IL17RD,ENSG00000144730,0.695169441,0.695169441,No data,No data,No data,No data,No data,No data,interleukin 17 receptor D,True,,,,,,,12.6,medium,na
59,DCAF17,ENSG00000115827,0.692976462,0.692116361,No data,No data,No data,0.107512597,No data,No data,DDB1 and CUL4 associated factor 17,True,,,,,,,14.1,na,na
60,ESR1,ENSG00000091831,0.688625964,0.468719651,No data,0.555615531,No data,0.188509203,No data,0.606336973,estrogen receptor 1,True,F,—,—,CTB,Y,True,14.2,not detected,not detected
61,NSMF,ENSG00000165802,0.688557516,0.687829174,No data,No data,No data,0.058267344,No data,No data,NMDA receptor synaptonuclear signaling and neuronal migration factor,True,,,,,,,5.0,not detected,na
62,INSR,ENSG00000171105,0.680863955,0.679216348,No data,No data,No data,0.074142311,No data,No data,insulin receptor,True,,,,,,,28.3,not detected,medium
63,PCSK1,ENSG00000175426,0.680370732,0.674738496,No data,No data,No data,0.146985324,No data,0.601956392,proprotein convertase subtilisin/kexin type 1,True,,,,,,,0.6,not detected,not detected
64,TRIM32,ENSG00000119401,0.680050404,0.673155093,No data,No data,No data,0.047926181,No data,0.52095213,tripartite motif containing 32,True,,,,,,,12.6,medium,na
65,POLR3A,ENSG00000148606,0.675203473,0.674851277,No data,No data,No data,0.015848816,No data,No data,RNA polymerase III subunit A,True,,,,,,,11.5,na,na
66,LEPR,ENSG00000116678,0.66962572,0.664096233,No data,No data,No data,0.120470302,No data,0.607525913,leptin receptor,True,,,,,,,18.4,not detected,not detected
67,SEMA3A,ENSG00000075213,0.668992342,0.665157897,No data,No data,No data,0.172550067,No data,No data,semaphorin 3A,True,,,,,,,1.4,not detected,na
68,DUSP6,ENSG00000139318,0.666428384,0.666264127,No data,No data,No data,0.007391597,No data,No data,dual specificity phosphatase 6,True,,,,,,,7.5,not detected,na
69,FGF17,ENSG00000158815,0.660264677,0.660264677,No data,No data,No data,No data,No data,No data,fibroblast growth factor 17,True,,,,,,,0.5,not detected,not detected
70,SDCCAG8,ENSG00000054282,0.651497691,0.636467843,No data,No data,No data,0.157277009,No data,0.587874833,SHH signaling and ciliogenesis regulator SDCCAG8,True,,,,,,,19.9,high,na
71,CEP290,ENSG00000198707,0.650062106,0.635344217,No data,No data,No data,0.1093731,No data,0.600782633,centrosomal protein 290,True,,,,,,,17.7,not detected,low
72,LZTFL1,ENSG00000163818,0.646838381,0.641437684,No data,No data,No data,0.123011366,No data,0.589662583,leucine zipper transcription factor like 1,True,,,,,,,12.8,not detected,na
73,GDF9,ENSG00000164404,0.645675087,0.633316145,No data,No data,No data,0.013756583,No data,0.5484143,growth differentiation factor 9,True,—,—,CTB,F,Y,True,0.6,low,low
74,MKS1,ENSG00000011143,0.644304469,0.630387767,No data,No data,No data,0.045740976,No data,0.600522274,MKS transition zone complex subunit 1,True,,,,,,,20.6,not detected,na
75,TAC3,ENSG00000166863,0.642605671,0.637473919,No data,No data,No data,0.107730474,No data,0.566656183,tachykinin precursor 3,True,,,,,,,0.5,not detected,not detected
76,TTC8,ENSG00000165533,0.632626789,0.6178007,No data,No data,No data,0.136331602,No data,0.590487471,tetratricopeptide repeat domain 8,True,,,,,,,49.9,na,na
77,GHR,ENSG00000112964,0.630742906,No data,No data,0.596352045,No data,0.19917673,No data,0.599294238,growth hormone receptor,True,,,,,,,5.0,not detected,not detected
78,PHIP,ENSG00000146247,0.62969554,0.618532951,No data,No data,No data,No data,No data,0.502316513,pleckstrin homology domain interacting protein,True,,,,,,,19.8,low,na
79,WDPCP,ENSG00000143951,0.627632024,0.613421108,No data,No data,No data,0.077971083,No data,0.595632457,WD repeat containing planar cell polarity effector,True,,,,,,,9.5,not detected,low
80,MCM9,ENSG00000111877,0.627219823,0.620953699,No data,No data,No data,No data,No data,0.501289902,minichromosome maintenance 9 homologous recombination repair factor,True,,,,,,,8.7,not detected,na
81,LEP,ENSG00000174697,0.623322187,0.614048042,No data,No data,No data,0.211657621,No data,0.606470726,leptin,True,,,,,,,0.1,not detected,na
82,GATA4,ENSG00000136574,0.621638436,0.615145136,No data,No data,No data,0.040089148,No data,0.493806947,GATA binding protein 4,True,,,,,,,63.4,high,not detected
83,OTX2,ENSG00000165588,0.611269106,0.604025094,No data,No data,No data,0.061254573,No data,0.540318027,orthodenticle homeobox 2,True,,,,,,,0.5,not detected,na
84,SSTR5,ENSG00000162009,0.609951006,No data,No data,0.602586725,No data,0.147285626,No data,No data,somatostatin receptor 5,True,,,,,,,0.0,na,na
85,FLRT3,ENSG00000125848,0.609293455,0.609293455,No data,No data,No data,No data,No data,No data,fibronectin leucine rich transmembrane protein 3,True,,,,,,,11.9,not detected,medium
86,POC1A,ENSG00000164087,0.608424253,0.59543421,No data,No data,No data,0.018478993,No data,0.574157489,POC1 centriolar protein A,True,,,,,,,1.1,not detected,na
87,NR3C1,ENSG00000113580,0.607144914,No data,No data,0.576040237,No data,0.098979645,No data,0.578102586,nuclear receptor subfamily 3 group C member 1,True,,,,,,,15.5,high,high
88,C8orf37,ENSG00000156172,0.606755609,0.599869169,No data,No data,No data,0.089007148,No data,0.493950662,chromosome 8 open reading frame 37,True,,,,,,,13.0,not detected,medium
89,SSTR2,ENSG00000180616,0.606524163,No data,No data,0.602586725,No data,0.078748766,No data,No data,somatostatin receptor 2,True,,,,,,,1.5,not detected,medium
90,LHB,ENSG00000104826,0.604913761,0.591218858,No data,No data,No data,0.038805885,No data,0.594442331,luteinizing hormone subunit beta,True,,,,,,,0.1,not detected,not detected
91,SSTR1,ENSG00000139874,0.603469692,No data,No data,0.600784746,No data,0.053698926,No data,No data,somatostatin receptor 1,True,,,,,,,0.6,not detected,low
92,ZP1,ENSG00000149506,0.60346382,0.593801899,No data,No data,No data,0.143912342,No data,0.353835753,zona pellucida glycoprotein 1,True,,,,,,,0.0,na,na
93,HS6ST1,ENSG00000136720,0.603420095,0.603112112,No data,No data,No data,0.013859245,No data,No data,heparan sulfate 6-O-sulfotransferase 1,True,,,,,,,16.2,na,na
94,SSTR3,ENSG00000278195,0.601472575,No data,No data,0.600784746,No data,0.013756583,No data,No data,somatostatin receptor 3,True,,,,,,,5.8,not detected,na
95,SSTR4,ENSG00000132671,0.600383589,No data,No data,0.599829219,No data,0.011087396,No data,No data,somatostatin receptor 4,True,,,,,,,0.0,na,na
96,OPRM1,ENSG00000112038,0.598599606,No data,No data,0.572035494,No data,No data,No data,0.531282238,opioid receptor mu 1,True,,,,,,,0.8,not detected,not detected
97,XRCC4,ENSG00000152422,0.595762726,0.59543421,No data,No data,No data,0.014783194,No data,No data,X-ray repair cross complementing 4,True,,,,,,,5.8,not detected,na
98,DRD2,ENSG00000149295,0.595643921,No data,No data,0.562772015,No data,0.166365781,No data,0.583497778,dopamine receptor D2,True,,,,,,,0.3,not detected,not detected
99,NDNF,ENSG00000173376,0.586679788,0.586194714,No data,No data,No data,0.038805885,No data,No data,neuron derived neurotrophic factor,True,,,,,,,21.3,na,na
100,BBIP1,ENSG00000214413,0.584964267,0.570649775,No data,No data,No data,0.090547064,No data,0.593219417,BBSome interacting protein 1,True,,,,,,,14.9,not detected,not detected
101,LHCGR,ENSG00000138039,0.584637437,No data,No data,0.554404536,No data,0.011087396,No data,0.5997303,luteinizing hormone/choriogonadotropin receptor,True,,,,,,,5.0,na,na
102,IFT27,ENSG00000100360,0.574382909,0.561299404,No data,No data,No data,0.282964133,No data,0.429590384,intraflagellar transport 27,True,,,,,,,14.9,not detected,not detected
103,AP002748.5,ENSG00000256349,0.573348017,0.573348017,No data,No data,No data,No data,No data,No data,novel protein,True,,,,,,,0.3,na,na
104,AL162231.3,ENSG00000258728,0.573168975,0.573168975,No data,No data,No data,No data,No data,No data,novel protein (GALT-IL11RA readthrough),True,,,,,,,3.5,na,na
105,GNRH1,ENSG00000147437,0.565776626,0.557054878,No data,No data,No data,0.157305545,No data,0.597064347,gonadotropin releasing hormone 1,True,,,,,,,4.3,not detected,not detected
106,HBA2,ENSG00000206172,0.564138412,No data,No data,0.545962824,No data,0.06825495,No data,0.333176239,hemoglobin subunit alpha 2,True,,,,,,,4.9,not detected,not detected
107,HBA1,ENSG00000188536,0.563483989,No data,No data,0.545962824,No data,0.038805885,No data,0.333176239,hemoglobin subunit alpha 1,True,,,,,,,4.1,not detected,not detected
108,RBM28,ENSG00000106344,0.556891882,0.555396393,No data,No data,No data,0.119639159,No data,No data,RNA binding motif protein 28,True,,,,,,,19.7,low,medium
109,PSMC3IP,ENSG00000131470,0.556438869,0.549236728,No data,No data,No data,0.056874233,No data,0.539771696,PSMC3 interacting protein,True,,,,,,,4.8,not detected,not detected
110,TMEM67,ENSG00000164953,0.555289083,0.54181647,No data,No data,No data,0.049082195,No data,0.578658835,transmembrane protein 67,True,,,,,,,8.6,na,na
111,RRM2,ENSG00000171848,0.554383272,No data,No data,0.554383272,No data,No data,No data,No data,ribonucleotide reductase regulatory subunit M2,True,,,,,,,0.9,not detected,not detected
112,MRPS22,ENSG00000175110,0.552809334,0.552521883,No data,No data,No data,0.012935295,No data,No data,mitochondrial ribosomal protein S22,True,,,,,,,15.7,medium,low
113,ZFPM2,ENSG00000169946,0.549236728,0.549236728,No data,No data,No data,No data,No data,No data,"zinc finger protein, FOG family member 2",True,,,,,,,37.8,medium,na
114,AC093899.2,ENSG00000251569,0.546103753,0.546103753,No data,No data,No data,No data,No data,No data,novel protein,True,,,,,,,4.0,na,na
115,DRD3,ENSG00000151577,0.543605153,No data,No data,0.526137988,No data,0.036957985,No data,0.332917533,dopamine receptor D3,True,,,,,,,0.0,na,na
116,DTD1,ENSG00000125821,0.543357811,0.543357811,No data,No data,No data,No data,No data,No data,D-aminoacyl-tRNA deacylase 1,True,,,,,,,19.1,not detected,na
117,AR,ENSG00000169083,0.532503665,No data,No data,0.499322916,No data,0.13364251,No data,0.604218306,androgen receptor,True,,,,,,,14.4,not detected,na
118,ESR2,ENSG00000140009,0.53100275,0.332621869,No data,0.434256329,No data,0.054119261,No data,0.581150817,estrogen receptor 2,True,CTB,—,—,CTB,Y,True,19.1,low,not detected
119,PGR,ENSG00000082175,0.527073696,No data,No data,0.496705059,No data,0.058187834,No data,0.581511494,progesterone receptor,True,F,—,—,F,Y,True,10.6,not detected,na
120,AKR1C2,ENSG00000151632,0.526877147,0.526137988,No data,No data,No data,0.014783194,No data,No data,aldo-keto reductase family 1 member C2,True,,,,,,,1.9,not detected,na
121,DRD4,ENSG00000069696,0.526137988,No data,No data,0.526137988,No data,No data,No data,No data,dopamine receptor D4,True,,,,,,,3.4,na,na
122,NF1,ENSG00000196712,0.524583841,0.497647487,No data,No data,No data,0.538727069,No data,No data,neurofibromin 1,True,,,,,,,22.9,low,na
123,ZP3,ENSG00000188372,0.521469678,0.5081723,No data,No data,No data,0.133293081,No data,0.523404637,zona pellucida glycoprotein 3,True,,,,,,,5.8,not detected,high
124,SELP,ENSG00000174175,0.518691835,No data,No data,0.513984855,No data,0.094139613,No data,No data,selectin P,True,,,,,,,5.0,not detected,not detected
125,TRIP13,ENSG00000071539,0.517588586,0.486829064,No data,No data,No data,0.048045381,No data,0.593836947,thyroid hormone receptor interactor 13,True,,,,,,,2.1,not detected,not detected
126,SOHLH1,ENSG00000165643,0.515563897,0.515563897,No data,No data,No data,No data,No data,No data,spermatogenesis and oogenesis specific basic helix-loop-helix 1,True,,,,,,,0.3,na,na
127,LEPROT,ENSG00000213625,0.515530249,0.505337556,No data,No data,No data,No data,No data,0.458671185,leptin receptor overlapping transcript,True,,,,,,,28.7,na,na
128,AC127029.3,ENSG00000285947,0.511169882,0.511169882,No data,No data,No data,No data,No data,No data,novel protein,True,,,,,,,,na,na
129,FEZF1,ENSG00000128610,0.509224006,0.5081723,No data,No data,No data,0.047326754,No data,No data,FEZ family zinc finger 1,True,,,,,,,0.3,not detected,not detected
130,RNPC3,ENSG00000185946,0.508729818,0.5081723,No data,No data,No data,0.025088312,No data,No data,"RNA binding region (RNP1, RRM) containing 3",True,,,,,,,27.2,na,na
131,SEMA3E,ENSG00000170381,0.502927642,0.499642622,No data,No data,No data,0.147825882,No data,No data,semaphorin 3E,True,,,,,,,0.9,na,na
132,GRIN2A,ENSG00000183454,0.502781965,No data,No data,0.501858016,No data,0.018478993,No data,No data,glutamate ionotropic receptor NMDA type subunit 2A,True,,,,,,,0.5,not detected,not detected
133,WEE2,ENSG00000214102,0.4996232,0.49606856,No data,No data,No data,0.071092791,No data,No data,WEE2 oocyte meiosis inhibiting kinase,True,,,,,,,1.2,na,na
134,NUP107,ENSG00000111581,0.498932804,0.498932804,No data,No data,No data,No data,No data,No data,nucleoporin 107,True,,,,,,,19.8,na,na
135,PTGS2,ENSG00000073756,0.497407687,No data,No data,0.466081261,No data,0.063074868,No data,0.598495244,prostaglandin-endoperoxide synthase 2,True,,,,,,,1.6,not detected,not detected
136,CCDC28B,ENSG00000160050,0.491162023,0.489693307,No data,No data,No data,0.066092219,No data,No data,coiled-coil domain containing 28B,True,,,,,,,3.4,not detected,na
137,ERAL1,ENSG00000132591,0.481698291,0.480681947,No data,No data,No data,0.081307568,No data,No data,Era like 12S mitochondrial rRNA chaperone 1,True,,,,,,,22.0,medium,medium
138,GRIN1,ENSG00000176884,0.478865852,No data,No data,0.452098823,No data,0.018478993,No data,0.527127692,glutamate ionotropic receptor NMDA type subunit 1,True,,,,,,,1.7,not detected,low
139,ZP2,ENSG00000103310,0.47718174,0.452735322,No data,No data,No data,0.069501545,No data,0.458038793,zona pellucida glycoprotein 2,True,,,,,,,0.1,not detected,high
140,IFT172,ENSG00000138002,0.476912167,0.445343725,No data,No data,No data,0.108632802,No data,0.583087598,intraflagellar transport 172,True,,,,,,,16.1,na,na
141,BTG4,ENSG00000137707,0.476388433,0.473524189,No data,No data,No data,0.057284877,No data,No data,BTG anti-proliferation factor 4,True,,,,,,,0.0,na,na
142,PANX1,ENSG00000110218,0.474078559,0.473524189,No data,No data,No data,0.011087396,No data,No data,pannexin 1,True,,,,,,,9.0,not detected,high
143,IL11RA,ENSG00000137070,0.470495687,0.447396946,No data,No data,No data,No data,No data,0.461974818,interleukin 11 receptor subunit alpha,True,,,,,,,11.5,low,na
144,SRY,ENSG00000184895,0.469697482,0.454583221,No data,No data,No data,0.152928577,No data,0.594119392,sex determining region Y,True,,,,,,,0.1,na,na
145,GRIN2D,ENSG00000105464,0.469265808,No data,No data,0.452098823,No data,No data,No data,0.343339685,glutamate ionotropic receptor NMDA type subunit 2D,True,,,,,,,0.0,not detected,not detected
146,PTGS1,ENSG00000095303,0.467101456,No data,No data,0.466081261,No data,0.020403888,No data,No data,prostaglandin-endoperoxide synthase 1,True,,,,,,,3.6,not detected,not detected
147,KISS1,ENSG00000170498,0.466595099,0.453197297,No data,No data,No data,0.041729464,No data,0.579428277,KiSS-1 metastasis suppressor,True,,,,,,,0.2,not detected,not detected
148,BTK,ENSG00000010671,0.463145155,0.462898768,No data,No data,No data,0.011087396,No data,No data,Bruton tyrosine kinase,True,,,,,,,1.2,not detected,not detected
149,ERCC4,ENSG00000175595,0.461974818,0.461974818,No data,No data,No data,No data,No data,No data,"ERCC excision repair 4, endonuclease catalytic subunit",True,,,,,,,9.9,not detected,na
150,GRIN3A,ENSG00000198785,0.454870672,No data,No data,0.452098823,No data,0.055436978,No data,No data,glutamate ionotropic receptor NMDA type subunit 3A,True,,,,,,,2.4,na,na
151,IFT74,ENSG00000096872,0.454008319,0.452735322,No data,No data,No data,0.057284877,No data,No data,intraflagellar transport 74,True,,,,,,,14.0,not detected,low
152,DMXL2,ENSG00000104093,0.453225814,0.452735322,No data,No data,No data,0.02207213,No data,No data,Dmx like 2,True,,,,,,,7.0,not detected,na
153,GRIN3B,ENSG00000116032,0.452098823,No data,No data,0.452098823,No data,No data,No data,No data,glutamate ionotropic receptor NMDA type subunit 3B,True,,,,,,,0.2,na,na
154,GRIN2C,ENSG00000161509,0.452098823,No data,No data,0.452098823,No data,No data,No data,No data,glutamate ionotropic receptor NMDA type subunit 2C,True,,,,,,,0.4,na,na
155,GRIN2B,ENSG00000273079,0.452098823,No data,No data,0.452098823,No data,No data,No data,No data,glutamate ionotropic receptor NMDA type subunit 2B,True,,,,,,,0.9,not detected,not detected
156,BCL11A,ENSG00000119866,0.449943597,0.440527234,No data,No data,No data,0.188327265,No data,No data,BAF chromatin remodeling complex subunit BCL11A,True,,,,,,,1.6,not detected,na
157,HERC2,ENSG00000128731,0.425642033,0.398127845,No data,No data,No data,0.022482774,No data,0.540291418,HECT and RLD domain containing E3 ubiquitin protein ligase 2,True,,,,,,,8.5,not detected,na
158,RPE65,ENSG00000116745,0.417367665,0.390112069,No data,No data,No data,No data,No data,0.54511192,retinoid isomerohydrolase RPE65,True,,,,,,,0.1,na,na
159,ZNF596,ENSG00000172748,0.415777337,0.415777337,No data,No data,No data,No data,No data,No data,zinc finger protein 596,True,,,,,,,7.8,na,na
160,SIGMAR1,ENSG00000147955,0.415777337,0.184789927,No data,0.369579855,No data,No data,No data,No data,sigma non-opioid intracellular receptor 1,True,,,,,,,20.1,low,medium
161,PRLR,ENSG00000113494,0.406567439,0.369579855,No data,No data,No data,0.481605839,No data,0.525704655,prolactin receptor,True,,,,,,,3.2,na,na
