gene symbol,ensembl ID,overallAssociationScore,geneticAssociations,somaticMutations,drugs,pathwaysSystemsBiology,textMining,rnaExpression,animalModels,targetName,Open Targets,Consensus-RNAseq:Low,Proteomics-DB:Low,HPA-Ab:,Mouse Infertility,Druggable,CITDBase,normalized RNA expression,Ovarian stroma cells,Follicle cells,MGI_ID
NR0B1,ENSG00000169297,0.822344614,0.810226565,0.332621869,No data,No data,0.169504884,No data,0.575468179,nuclear receptor subfamily 0 group B member 1,True,,,,,,,3.5,na,na,MGI:1352460
BBS7,ENSG00000138686,0.8179992159999999,0.814165292,No data,No data,No data,0.133860306,No data,0.591759981,Bardet-Biedl syndrome 7,True,,,,,,,18.5,not detected,not detected,MGI:1918742
BBS1,ENSG00000174483,0.8175028790000001,0.811539174,No data,No data,No data,0.210809363,No data,0.599067703,Bardet-Biedl syndrome 1,True,,,,,,,30.4,not detected,not detected,MGI:1277215
GNRHR,ENSG00000109163,0.81007024,0.78865337,No data,0.396271733,No data,0.079030492,No data,0.602160812,gonadotropin releasing hormone receptor,True,,,,,,,0.2,not detected,not detected,MGI:95790
PNPLA6,ENSG00000032444,0.801027409,0.800382567,No data,No data,No data,0.116071637,No data,No data,patatin like phospholipase domain containing 6,True,,,,,,,12.5,high,na,MGI:1354723
HBB,ENSG00000244734,0.8004429909999999,0.760887913,No data,0.545962824,No data,0.146924407,No data,No data,hemoglobin subunit beta,True,,,,,,,82.6,not detected,not detected,MGI:5474850
HBB,ENSG00000244734,0.8004429909999999,0.760887913,No data,0.545962824,No data,0.146924407,No data,No data,hemoglobin subunit beta,True,,,,,,,82.6,not detected,not detected,MGI:96021
HBB,ENSG00000244734,0.8004429909999999,0.760887913,No data,0.545962824,No data,0.146924407,No data,No data,hemoglobin subunit beta,True,,,,,,,82.6,not detected,not detected,MGI:96022
HBB,ENSG00000244734,0.8004429909999999,0.760887913,No data,0.545962824,No data,0.146924407,No data,No data,hemoglobin subunit beta,True,,,,,,,82.6,not detected,not detected,MGI:96025
FOXL2,ENSG00000183770,0.79959432,0.794393286,No data,No data,No data,0.524776221,No data,0.550636204,forkhead box L2,True,F,—,F,F,Y,True,55.5,medium,medium,MGI:1349428
BBS9,ENSG00000122507,0.7988508609999999,0.793885927,No data,No data,No data,0.128641784,No data,0.531282238,Bardet-Biedl syndrome 9,True,,,,,,,13.4,not detected,medium,MGI:2442833
NR5A1,ENSG00000136931,0.7909425379999999,0.785931837,No data,No data,No data,0.047087093,No data,0.593638232,nuclear receptor subfamily 5 group A member 1,True,,,,,,,13.1,na,na,MGI:1346833
PROK2,ENSG00000163421,0.7893076379999999,0.787929697,No data,No data,No data,0.172242561,No data,No data,prokineticin 2,True,,,,,,,0.7,not detected,na,MGI:1354178
BBS5,ENSG00000163093,0.788888138,0.787798964,No data,No data,No data,0.196051303,No data,No data,Bardet-Biedl syndrome 5,True,,,,,,,9.3,not detected,na,MGI:1919819
FGF8,ENSG00000107831,0.78725836,0.780212602,No data,No data,No data,0.072851338,No data,0.5170358,fibroblast growth factor 8,True,,,,,,,0.1,na,na,MGI:99604
KISS1R,ENSG00000116014,0.787186686,0.781578329,No data,No data,No data,0.141049022,No data,0.603093827,KISS1 receptor,True,,,,,,,0.4,not detected,high,MGI:2148793
WDR11,ENSG00000120008,0.785352712,0.780173641,No data,No data,No data,0.070807296,No data,0.598212178,WD repeat domain 11,True,,,,,,,19.4,not detected,na,MGI:1920230
CLPP,ENSG00000125656,0.7849287859999999,0.782453808,No data,No data,No data,0.10667797,No data,0.524694316,caseinolytic mitochondrial matrix peptidase proteolytic subunit,True,,,,,,,23.7,low,na,MGI:1858213
CYP21A2,ENSG00000231852,0.783375433,0.781814787,No data,No data,No data,0.124851716,No data,No data,cytochrome P450 family 21 subfamily A member 2,True,,,,,,,0.2,not detected,na,MGI:88591
LARS2,ENSG00000011376,0.7829717979999999,0.781978933,No data,No data,No data,0.178715622,No data,No data,"leucyl-tRNA synthetase 2, mitochondrial",True,,,,,,,10.2,low,low,MGI:2142973
PROP1,ENSG00000175325,0.781828675,0.773508185,No data,No data,No data,0.106462356,No data,0.597503344,PROP paired-like homeobox 1,True,,,,,,,0.0,not detected,not detected,MGI:109330
CYP17A1,ENSG00000148795,0.780520234,0.772728921,No data,0.036957985,No data,0.095273889,No data,0.462695499,cytochrome P450 family 17 subfamily A member 1,True,,,,,,,3.2,not detected,not detected,MGI:88586
BMP15,ENSG00000130385,0.77540006,0.771563769,No data,No data,No data,0.05362805,No data,0.442294691,bone morphogenetic protein 15,True,,,,,,,0.1,na,na,MGI:1316745
TACR3,ENSG00000169836,0.7741876740000001,0.769334047,No data,No data,No data,0.052036844,No data,0.570566705,tachykinin receptor 3,True,,,,,,,0.1,na,na,MGI:892968
MKKS,ENSG00000125863,0.772724275,0.764248715,No data,No data,No data,0.117464489,No data,0.602867538,MKKS centrosomal shuttling protein,True,,,,,,,17.5,not detected,medium,MGI:1891836
STAR,ENSG00000147465,0.769382207,0.764127569,No data,No data,No data,0.168991478,No data,0.539474554,steroidogenic acute regulatory protein,True,,,,,,,124.6,not detected,not detected,MGI:102760
BBS2,ENSG00000125124,0.768813256,0.760328151,No data,No data,No data,0.127570041,No data,0.597163553,Bardet-Biedl syndrome 2,True,,,,,,,26.3,not detected,not detected,MGI:2135267
HARS2,ENSG00000125821,0.759444235,0.758560449,No data,No data,No data,0.116119594,No data,No data,"histidyl-tRNA synthetase 2, mitochondrial",True,,,,,,,19.1,not detected,na,MGI:1918041
HSD17B3,ENSG00000130948,0.759366558,0.759227965,No data,No data,No data,0.011087396,No data,No data,hydroxysteroid 17-beta dehydrogenase 3,True,—,CTB,—,—,Y,True,0.5,not detected,na,MGI:107177
HSD17B4,ENSG00000133835,0.757456384,0.752647383,No data,No data,No data,0.112380891,No data,0.523082794,hydroxysteroid 17-beta dehydrogenase 4,True,,,,,,,15.1,not detected,na,MGI:105089
GH1,ENSG00000259384,0.7566911740000001,0.748995985,No data,No data,No data,0.549256675,No data,0.580470405,growth hormone 1,True,,,,,,,0.0,not detected,not detected,MGI:95707
CYP19A1,ENSG00000137869,0.753986053,0.746541875,No data,0.036957985,No data,0.336265669,No data,0.602723867,cytochrome P450 family 19 subfamily A member 1,True,,,,,,,4.4,not detected,not detected,MGI:88587
ARL6,ENSG00000113966,0.753323216,0.752401597,No data,No data,No data,0.115202383,No data,No data,ADP ribosylation factor like GTPase 6,True,,,,,,,6.4,low,low,MGI:1927136
RAB3GAP2,ENSG00000118873,0.7527877340000001,0.751852629,No data,No data,No data,0.116888088,No data,No data,RAB3 GTPase activating non-catalytic protein subunit 2,True,,,,,,,16.2,medium,medium,MGI:1916043
RNF216,ENSG00000011275,0.742208865,0.739275132,No data,No data,No data,0.234698662,No data,No data,ring finger protein 216,True,,,,,,,25.6,low,medium,MGI:1344349
GHRHR,ENSG00000106128,0.742139227,0.73658621,No data,No data,No data,0.141455903,No data,0.595893802,growth hormone releasing hormone receptor,True,,,,,,,0.0,na,na,MGI:95710
MAGEL2,ENSG00000254585,0.741902697,0.735433818,No data,No data,No data,0.31219116,No data,0.59181045,MAGE family member L2,True,,,,,,,7.2,na,na,MGI:1351648
WNT4,ENSG00000162552,0.740765388,0.737073513,No data,No data,No data,0.11508754,No data,0.579983419,Wnt family member 4,True,,,,,,,34.3,na,na,MGI:98957
TWNK,ENSG00000107815,0.73245679,0.727637261,No data,No data,No data,0.385562325,No data,No data,twinkle mtDNA helicase,True,,,,,,,9.8,not detected,not detected,MGI:2137410
LHX3,ENSG00000107187,0.728815937,0.725368229,No data,No data,No data,0.050589225,No data,0.583419811,LIM homeobox 3,True,,,,,,,0.0,na,na,MGI:102673
FSHR,ENSG00000170820,0.728785033,0.664505956,No data,0.511495638,No data,0.158235685,No data,0.602787951,follicle stimulating hormone receptor,True,,,,,,,6.5,na,na,MGI:95583
FSHB,ENSG00000131808,0.728151337,0.711573878,0.332621869,No data,No data,0.031311627,No data,0.566060851,follicle stimulating hormone subunit beta,True,,,,,,,0.0,not detected,not detected,MGI:95582
SMCHD1,ENSG00000101596,0.7235917409999999,0.721206661,No data,No data,No data,0.107328594,No data,No data,structural maintenance of chromosomes flexible hinge domain containing 1,True,,,,,,,20.0,not detected,na,MGI:1921605
TUBB8,ENSG00000261456,0.7167608879999999,0.715121733,No data,No data,No data,0.073761979,No data,No data,tubulin beta 8 class VIII,True,,,,,,,0.0,na,na,
PATL2,ENSG00000229474,0.712936453,0.708164284,No data,No data,No data,0.075240299,No data,0.333619735,PAT1 homolog 2,True,,,,,,,1.3,na,na,MGI:1914828
LHX4,ENSG00000121454,0.710625165,0.710055101,No data,No data,No data,0.045605065,No data,No data,LIM homeobox 4,True,,,,,,,2.2,na,na,MGI:101776
POLR3B,ENSG00000013503,0.710063098,0.710003965,No data,No data,No data,0.007391597,No data,No data,RNA polymerase III subunit B,True,,,,,,,11.3,medium,high,MGI:1917678
SPRY4,ENSG00000187678,0.706131567,0.693266106,No data,No data,No data,0.025767929,No data,0.564451245,sprouty RTK signaling antagonist 4,True,,,,,,,5.7,low,na,MGI:1345144
TBX19,ENSG00000143178,0.6985003909999999,0.691372687,No data,No data,No data,0.10609349,No data,0.502316513,T-box transcription factor 19,True,,,,,,,2.9,not detected,not detected,MGI:1891158
MAP3K1,ENSG00000095015,0.696262101,0.690087718,No data,No data,No data,No data,No data,0.493950662,mitogen-activated protein kinase kinase kinase 1,True,,,,,,,8.4,low,low,MGI:1346872
SOX3,ENSG00000134595,0.6961905009999999,0.691676073,No data,No data,No data,0.020673886,No data,0.549946691,SRY-box transcription factor 3,True,CTB,—,—,M,—,True,4.7,na,na,MGI:98365
IL17RD,ENSG00000144730,0.6951694409999999,0.695169441,No data,No data,No data,No data,No data,No data,interleukin 17 receptor D,True,,,,,,,12.6,medium,na,MGI:2159727
DCAF17,ENSG00000115827,0.6929764620000001,0.692116361,No data,No data,No data,0.107512597,No data,No data,DDB1 and CUL4 associated factor 17,True,,,,,,,14.1,na,na,MGI:1923013
ESR1,ENSG00000091831,0.6886259640000001,0.468719651,No data,0.555615531,No data,0.188509203,No data,0.606336973,estrogen receptor 1,True,F,—,—,CTB,Y,True,14.2,not detected,not detected,MGI:1352467
NSMF,ENSG00000165802,0.6885575159999999,0.687829174,No data,No data,No data,0.058267344,No data,No data,NMDA receptor synaptonuclear signaling and neuronal migration factor,True,,,,,,,5.0,not detected,na,MGI:1861755
INSR,ENSG00000171105,0.680863955,0.679216348,No data,No data,No data,0.074142311,No data,No data,insulin receptor,True,,,,,,,28.3,not detected,medium,MGI:96575
PCSK1,ENSG00000175426,0.680370732,0.674738496,No data,No data,No data,0.146985324,No data,0.601956392,proprotein convertase subtilisin/kexin type 1,True,,,,,,,0.6,not detected,not detected,MGI:97511
TRIM32,ENSG00000119401,0.680050404,0.673155093,No data,No data,No data,0.047926181,No data,0.52095213,tripartite motif containing 32,True,,,,,,,12.6,medium,na,MGI:1917057
POLR3A,ENSG00000148606,0.6752034729999999,0.674851277,No data,No data,No data,0.015848816,No data,No data,RNA polymerase III subunit A,True,,,,,,,11.5,na,na,MGI:2681836
LEPR,ENSG00000116678,0.66962572,0.664096233,No data,No data,No data,0.120470302,No data,0.607525913,leptin receptor,True,,,,,,,18.4,not detected,not detected,MGI:104993
SEMA3A,ENSG00000075213,0.668992342,0.665157897,No data,No data,No data,0.172550067,No data,No data,semaphorin 3A,True,,,,,,,1.4,not detected,na,MGI:107558
DUSP6,ENSG00000139318,0.666428384,0.666264127,No data,No data,No data,0.007391597,No data,No data,dual specificity phosphatase 6,True,,,,,,,7.5,not detected,na,MGI:1914853
FGF17,ENSG00000158815,0.660264677,0.660264677,No data,No data,No data,No data,No data,No data,fibroblast growth factor 17,True,,,,,,,0.5,not detected,not detected,MGI:1202401
SDCCAG8,ENSG00000054282,0.651497691,0.636467843,No data,No data,No data,0.157277009,No data,0.587874833,SHH signaling and ciliogenesis regulator SDCCAG8,True,,,,,,,19.9,high,na,MGI:1924066
CEP290,ENSG00000198707,0.650062106,0.635344217,No data,No data,No data,0.1093731,No data,0.600782633,centrosomal protein 290,True,,,,,,,17.7,not detected,low,MGI:2384917
LZTFL1,ENSG00000163818,0.646838381,0.641437684,No data,No data,No data,0.123011366,No data,0.589662583,leucine zipper transcription factor like 1,True,,,,,,,12.8,not detected,na,MGI:1934860
GDF9,ENSG00000164404,0.645675087,0.633316145,No data,No data,No data,0.013756583,No data,0.5484143,growth differentiation factor 9,True,—,—,CTB,F,Y,True,0.6,low,low,MGI:95692
MKS1,ENSG00000011143,0.6443044689999999,0.630387767,No data,No data,No data,0.045740976,No data,0.600522274,MKS transition zone complex subunit 1,True,,,,,,,20.6,not detected,na,MGI:3584243
TAC3,ENSG00000166863,0.642605671,0.637473919,No data,No data,No data,0.107730474,No data,0.566656183,tachykinin precursor 3,True,,,,,,,0.5,not detected,not detected,MGI:98476
TTC8,ENSG00000165533,0.632626789,0.6178007,No data,No data,No data,0.136331602,No data,0.590487471,tetratricopeptide repeat domain 8,True,,,,,,,49.9,na,na,MGI:1923510
GHR,ENSG00000112964,0.630742906,No data,No data,0.596352045,No data,0.19917673,No data,0.599294238,growth hormone receptor,True,,,,,,,5.0,not detected,not detected,MGI:95708
PHIP,ENSG00000146247,0.62969554,0.618532951,No data,No data,No data,No data,No data,0.502316513,pleckstrin homology domain interacting protein,True,,,,,,,19.8,low,na,MGI:1932404
WDPCP,ENSG00000143951,0.627632024,0.613421108,No data,No data,No data,0.077971083,No data,0.595632457,WD repeat containing planar cell polarity effector,True,,,,,,,9.5,not detected,low,MGI:2144467
MCM9,ENSG00000111877,0.627219823,0.620953699,No data,No data,No data,No data,No data,0.501289902,minichromosome maintenance 9 homologous recombination repair factor,True,,,,,,,8.7,not detected,na,MGI:1918817
LEP,ENSG00000174697,0.6233221870000001,0.614048042,No data,No data,No data,0.211657621,No data,0.606470726,leptin,True,,,,,,,0.1,not detected,na,MGI:104663
GATA4,ENSG00000136574,0.621638436,0.615145136,No data,No data,No data,0.040089148,No data,0.493806947,GATA binding protein 4,True,,,,,,,63.4,high,not detected,MGI:95664
OTX2,ENSG00000165588,0.6112691060000001,0.604025094,No data,No data,No data,0.061254573,No data,0.540318027,orthodenticle homeobox 2,True,,,,,,,0.5,not detected,na,MGI:97451
SSTR5,ENSG00000162009,0.609951006,No data,No data,0.602586725,No data,0.147285626,No data,No data,somatostatin receptor 5,True,,,,,,,0.0,na,na,MGI:894282
FLRT3,ENSG00000125848,0.609293455,0.609293455,No data,No data,No data,No data,No data,No data,fibronectin leucine rich transmembrane protein 3,True,,,,,,,11.9,not detected,medium,MGI:1918686
POC1A,ENSG00000164087,0.6084242529999999,0.59543421,No data,No data,No data,0.018478993,No data,0.574157489,POC1 centriolar protein A,True,,,,,,,1.1,not detected,na,MGI:1917485
NR3C1,ENSG00000113580,0.607144914,No data,No data,0.576040237,No data,0.098979645,No data,0.578102586,nuclear receptor subfamily 3 group C member 1,True,,,,,,,15.5,high,high,MGI:95824
C8orf37,ENSG00000156172,0.606755609,0.599869169,No data,No data,No data,0.089007148,No data,0.493950662,chromosome 8 open reading frame 37,True,,,,,,,13.0,not detected,medium,
SSTR2,ENSG00000180616,0.606524163,No data,No data,0.602586725,No data,0.078748766,No data,No data,somatostatin receptor 2,True,,,,,,,1.5,not detected,medium,MGI:98328
LHB,ENSG00000104826,0.604913761,0.591218858,No data,No data,No data,0.038805885,No data,0.594442331,luteinizing hormone subunit beta,True,,,,,,,0.1,not detected,not detected,MGI:96782
SSTR1,ENSG00000139874,0.603469692,No data,No data,0.600784746,No data,0.053698926,No data,No data,somatostatin receptor 1,True,,,,,,,0.6,not detected,low,MGI:98327
ZP1,ENSG00000149506,0.60346382,0.593801899,No data,No data,No data,0.143912342,No data,0.353835753,zona pellucida glycoprotein 1,True,,,,,,,0.0,na,na,MGI:103073
HS6ST1,ENSG00000136720,0.603420095,0.603112112,No data,No data,No data,0.013859245,No data,No data,heparan sulfate 6-O-sulfotransferase 1,True,,,,,,,16.2,na,na,MGI:1354958
SSTR3,ENSG00000278195,0.601472575,No data,No data,0.600784746,No data,0.013756583,No data,No data,somatostatin receptor 3,True,,,,,,,5.8,not detected,na,MGI:98329
SSTR4,ENSG00000132671,0.600383589,No data,No data,0.599829219,No data,0.011087396,No data,No data,somatostatin receptor 4,True,,,,,,,0.0,na,na,MGI:105372
OPRM1,ENSG00000112038,0.5985996060000001,No data,No data,0.572035494,No data,No data,No data,0.531282238,opioid receptor mu 1,True,,,,,,,0.8,not detected,not detected,MGI:97441
XRCC4,ENSG00000152422,0.595762726,0.59543421,No data,No data,No data,0.014783194,No data,No data,X-ray repair cross complementing 4,True,,,,,,,5.8,not detected,na,MGI:1333799
DRD2,ENSG00000149295,0.595643921,No data,No data,0.562772015,No data,0.166365781,No data,0.583497778,dopamine receptor D2,True,,,,,,,0.3,not detected,not detected,MGI:94924
NDNF,ENSG00000173376,0.586679788,0.586194714,No data,No data,No data,0.038805885,No data,No data,neuron derived neurotrophic factor,True,,,,,,,21.3,na,na,MGI:1915419
BBIP1,ENSG00000214413,0.584964267,0.570649775,No data,No data,No data,0.090547064,No data,0.593219417,BBSome interacting protein 1,True,,,,,,,14.9,not detected,not detected,MGI:1913610
LHCGR,ENSG00000138039,0.584637437,No data,No data,0.554404536,No data,0.011087396,No data,0.5997303,luteinizing hormone/choriogonadotropin receptor,True,,,,,,,5.0,na,na,MGI:96783
IFT27,ENSG00000100360,0.574382909,0.561299404,No data,No data,No data,0.282964133,No data,0.429590384,intraflagellar transport 27,True,,,,,,,14.9,not detected,not detected,MGI:1914292
AP002748.5,ENSG00000256349,0.573348017,0.573348017,No data,No data,No data,No data,No data,No data,novel protein,True,,,,,,,0.3,na,na,
AL162231.3,ENSG00000258728,0.573168975,0.573168975,No data,No data,No data,No data,No data,No data,novel protein (GALT-IL11RA readthrough),True,,,,,,,3.5,na,na,
GNRH1,ENSG00000147437,0.565776626,0.557054878,No data,No data,No data,0.157305545,No data,0.597064347,gonadotropin releasing hormone 1,True,,,,,,,4.3,not detected,not detected,MGI:95789
HBA2,ENSG00000206172,0.564138412,No data,No data,0.545962824,No data,0.06825495,No data,0.333176239,hemoglobin subunit alpha 2,True,,,,,,,4.9,not detected,not detected,MGI:96015
HBA1,ENSG00000188536,0.563483989,No data,No data,0.545962824,No data,0.038805885,No data,0.333176239,hemoglobin subunit alpha 1,True,,,,,,,4.1,not detected,not detected,
RBM28,ENSG00000106344,0.5568918820000001,0.555396393,No data,No data,No data,0.119639159,No data,No data,RNA binding motif protein 28,True,,,,,,,19.7,low,medium,MGI:2655711
PSMC3IP,ENSG00000131470,0.556438869,0.549236728,No data,No data,No data,0.056874233,No data,0.539771696,PSMC3 interacting protein,True,,,,,,,4.8,not detected,not detected,MGI:1098610
TMEM67,ENSG00000164953,0.555289083,0.54181647,No data,No data,No data,0.049082195,No data,0.578658835,transmembrane protein 67,True,,,,,,,8.6,na,na,MGI:1923928
RRM2,ENSG00000171848,0.554383272,No data,No data,0.554383272,No data,No data,No data,No data,ribonucleotide reductase regulatory subunit M2,True,,,,,,,0.9,not detected,not detected,MGI:98181
MRPS22,ENSG00000175110,0.552809334,0.552521883,No data,No data,No data,0.012935295,No data,No data,mitochondrial ribosomal protein S22,True,,,,,,,15.7,medium,low,MGI:1928137
ZFPM2,ENSG00000169946,0.549236728,0.549236728,No data,No data,No data,No data,No data,No data,"zinc finger protein, FOG family member 2",True,,,,,,,37.8,medium,na,MGI:1334444
AC093899.2,ENSG00000251569,0.546103753,0.546103753,No data,No data,No data,No data,No data,No data,novel protein,True,,,,,,,4.0,na,na,
DRD3,ENSG00000151577,0.543605153,No data,No data,0.526137988,No data,0.036957985,No data,0.332917533,dopamine receptor D3,True,,,,,,,0.0,na,na,MGI:94925
DTD1,ENSG00000125821,0.543357811,0.543357811,No data,No data,No data,No data,No data,No data,D-aminoacyl-tRNA deacylase 1,True,,,,,,,19.1,not detected,na,MGI:1913294
AR,ENSG00000169083,0.532503665,No data,No data,0.499322916,No data,0.13364251,No data,0.604218306,androgen receptor,True,,,,,,,14.4,not detected,na,MGI:88064
ESR2,ENSG00000140009,0.53100275,0.332621869,No data,0.434256329,No data,0.054119261,No data,0.581150817,estrogen receptor 2,True,CTB,—,—,CTB,Y,True,19.1,low,not detected,MGI:109392
PGR,ENSG00000082175,0.527073696,No data,No data,0.496705059,No data,0.058187834,No data,0.581511494,progesterone receptor,True,F,—,—,F,Y,True,10.6,not detected,na,MGI:97567
AKR1C2,ENSG00000151632,0.526877147,0.526137988,No data,No data,No data,0.014783194,No data,No data,aldo-keto reductase family 1 member C2,True,,,,,,,1.9,not detected,na,MGI:1351661
AKR1C2,ENSG00000151632,0.526877147,0.526137988,No data,No data,No data,0.014783194,No data,No data,aldo-keto reductase family 1 member C2,True,,,,,,,1.9,not detected,na,MGI:1351662
AKR1C2,ENSG00000151632,0.526877147,0.526137988,No data,No data,No data,0.014783194,No data,No data,aldo-keto reductase family 1 member C2,True,,,,,,,1.9,not detected,na,MGI:1918111
AKR1C2,ENSG00000151632,0.526877147,0.526137988,No data,No data,No data,0.014783194,No data,No data,aldo-keto reductase family 1 member C2,True,,,,,,,1.9,not detected,na,MGI:1924587
AKR1C2,ENSG00000151632,0.526877147,0.526137988,No data,No data,No data,0.014783194,No data,No data,aldo-keto reductase family 1 member C2,True,,,,,,,1.9,not detected,na,MGI:1933427
AKR1C2,ENSG00000151632,0.526877147,0.526137988,No data,No data,No data,0.014783194,No data,No data,aldo-keto reductase family 1 member C2,True,,,,,,,1.9,not detected,na,MGI:2145420
AKR1C2,ENSG00000151632,0.526877147,0.526137988,No data,No data,No data,0.014783194,No data,No data,aldo-keto reductase family 1 member C2,True,,,,,,,1.9,not detected,na,MGI:2145458
AKR1C2,ENSG00000151632,0.526877147,0.526137988,No data,No data,No data,0.014783194,No data,No data,aldo-keto reductase family 1 member C2,True,,,,,,,1.9,not detected,na,MGI:2151104
AKR1C2,ENSG00000151632,0.526877147,0.526137988,No data,No data,No data,0.014783194,No data,No data,aldo-keto reductase family 1 member C2,True,,,,,,,1.9,not detected,na,MGI:2653678
DRD4,ENSG00000069696,0.526137988,No data,No data,0.526137988,No data,No data,No data,No data,dopamine receptor D4,True,,,,,,,3.4,na,na,MGI:94926
NF1,ENSG00000196712,0.524583841,0.497647487,No data,No data,No data,0.538727069,No data,No data,neurofibromin 1,True,,,,,,,22.9,low,na,MGI:97306
ZP3,ENSG00000188372,0.521469678,0.5081723,No data,No data,No data,0.133293081,No data,0.523404637,zona pellucida glycoprotein 3,True,,,,,,,5.8,not detected,high,MGI:99215
SELP,ENSG00000174175,0.518691835,No data,No data,0.513984855,No data,0.094139613,No data,No data,selectin P,True,,,,,,,5.0,not detected,not detected,MGI:98280
TRIP13,ENSG00000071539,0.517588586,0.486829064,No data,No data,No data,0.048045381,No data,0.593836947,thyroid hormone receptor interactor 13,True,,,,,,,2.1,not detected,not detected,MGI:1916966
SOHLH1,ENSG00000165643,0.515563897,0.515563897,No data,No data,No data,No data,No data,No data,spermatogenesis and oogenesis specific basic helix-loop-helix 1,True,,,,,,,0.3,na,na,MGI:2684956
LEPROT,ENSG00000213625,0.515530249,0.505337556,No data,No data,No data,No data,No data,0.458671185,leptin receptor overlapping transcript,True,,,,,,,28.7,na,na,MGI:2687005
AC127029.3,ENSG00000285947,0.511169882,0.511169882,No data,No data,No data,No data,No data,No data,novel protein,True,,,,,,,,na,na,
FEZF1,ENSG00000128610,0.5092240060000001,0.5081723,No data,No data,No data,0.047326754,No data,No data,FEZ family zinc finger 1,True,,,,,,,0.3,not detected,not detected,MGI:1920441
RNPC3,ENSG00000185946,0.508729818,0.5081723,No data,No data,No data,0.025088312,No data,No data,"RNA binding region (RNP1, RRM) containing 3",True,,,,,,,27.2,na,na,MGI:1914475
SEMA3E,ENSG00000170381,0.5029276420000001,0.499642622,No data,No data,No data,0.147825882,No data,No data,semaphorin 3E,True,,,,,,,0.9,na,na,MGI:1340034
GRIN2A,ENSG00000183454,0.502781965,No data,No data,0.501858016,No data,0.018478993,No data,No data,glutamate ionotropic receptor NMDA type subunit 2A,True,,,,,,,0.5,not detected,not detected,MGI:95820
WEE2,ENSG00000214102,0.4996232,0.49606856,No data,No data,No data,0.071092791,No data,No data,WEE2 oocyte meiosis inhibiting kinase,True,,,,,,,1.2,na,na,MGI:3027899
NUP107,ENSG00000111581,0.498932804,0.498932804,No data,No data,No data,No data,No data,No data,nucleoporin 107,True,,,,,,,19.8,na,na,MGI:2143854
PTGS2,ENSG00000073756,0.49740768700000004,No data,No data,0.466081261,No data,0.063074868,No data,0.598495244,prostaglandin-endoperoxide synthase 2,True,,,,,,,1.6,not detected,not detected,MGI:97798
CCDC28B,ENSG00000160050,0.49116202299999995,0.489693307,No data,No data,No data,0.066092219,No data,No data,coiled-coil domain containing 28B,True,,,,,,,3.4,not detected,na,MGI:1913514
ERAL1,ENSG00000132591,0.481698291,0.480681947,No data,No data,No data,0.081307568,No data,No data,Era like 12S mitochondrial rRNA chaperone 1,True,,,,,,,22.0,medium,medium,MGI:1889295
GRIN1,ENSG00000176884,0.47886585200000004,No data,No data,0.452098823,No data,0.018478993,No data,0.527127692,glutamate ionotropic receptor NMDA type subunit 1,True,,,,,,,1.7,not detected,low,MGI:95819
ZP2,ENSG00000103310,0.47718174,0.452735322,No data,No data,No data,0.069501545,No data,0.458038793,zona pellucida glycoprotein 2,True,,,,,,,0.1,not detected,high,MGI:99214
