gene symbol,ensembl ID,overallAssociationScore,geneticAssociations,somaticMutations,drugs,pathwaysSystemsBiology,textMining,rnaExpression,animalModels,targetName,Open Targets,Consensus-RNAseq:Low,Proteomics-DB:Low,HPA-Ab:,Mouse Infertility,Druggable,CITDBase,normalized RNA expression,Ovarian stroma cells,Follicle cells
SIM1,ENSG00000112246,0.199630278,0.168364156,No data,No data,No data,0.053682843,No data,0.601463401,SIM bHLH transcription factor 1,TRUE,,,,,,,0,na,na
NDN,ENSG00000182636,0.198551048,0.160972559,No data,No data,No data,0.439441438,No data,0.556262484,"necdin, MAGE family member",TRUE,,,,,,,50.7,na,na
UGT1A1,ENSG00000241635,0.191960234,0.185462661,No data,No data,No data,0.129951456,No data,No data,UDP glucuronosyltransferase family 1 member A1,TRUE,,,,,,,0.1,na,na
ACBD6,ENSG00000230124,0.185372185,0.185372185,No data,No data,No data,No data,No data,No data,acyl-CoA binding domain containing 6,TRUE,,,,,,,10.5,low,medium
OR52J3,ENSG00000205495,0.18534353,0.18534353,No data,No data,No data,No data,No data,No data,olfactory receptor family 52 subfamily J member 3,TRUE,,,,,,,0,na,na
TMEM59,ENSG00000116209,0.184789927,0.184789927,No data,No data,No data,No data,No data,No data,transmembrane protein 59,TRUE,,,,,,,48,not detected,na
TCF12,ENSG00000140262,0.184789927,0.184789927,No data,No data,No data,No data,No data,No data,transcription factor 12,TRUE,,,,,,,26.2,high,na
WDR4,ENSG00000160193,0.184789927,0.184789927,No data,No data,No data,No data,No data,No data,WD repeat domain 4,TRUE,,,,,,,9.7,na,na
MCM4,ENSG00000104738,0.184789927,0.184789927,No data,No data,No data,No data,No data,No data,minichromosome maintenance complex component 4,TRUE,,,,,,,5.3,medium,na
AKR1C4,ENSG00000198610,0.184789927,0.184789927,No data,No data,No data,No data,No data,No data,aldo-keto reductase family 1 member C4,TRUE,,,,,,,0,not detected,not detected
AL034430.1,ENSG00000285508,0.180867672,0.180867672,No data,No data,No data,No data,No data,No data,novel protein,TRUE,,,,,,,0,na,na
AKT3,ENSG00000117020,0.178822435,0.178822435,No data,No data,No data,No data,No data,No data,AKT serine/threonine kinase 3,TRUE,,,,,,,29.8,medium,na
AL034430.2,ENSG00000285723,0.176530781,0.176530781,No data,No data,No data,No data,No data,No data,novel protein,TRUE,,,,,,,,na,na
ADRA1B,ENSG00000170214,0.176264815,0.148836209,No data,No data,No data,No data,No data,0.54857211,adrenoceptor alpha 1B,TRUE,,,,,,,6.2,na,na
C12orf29,ENSG00000133641,0.161434534,0.161434534,No data,No data,No data,No data,No data,No data,chromosome 12 open reading frame 29,TRUE,,,,,,,11.7,not detected,not detected
ZDHHC24,ENSG00000174165,0.16015127,0.16015127,No data,No data,No data,No data,No data,No data,zinc finger DHHC-type containing 24,TRUE,,,,,,,6.5,not detected,low
TMTC3,ENSG00000139324,0.147831942,0.147831942,No data,No data,No data,No data,No data,No data,transmembrane O-mannosyltransferase targeting cadherins 3,TRUE,,,,,,,9.7,not detected,na
RYR1,ENSG00000196218,0.146094699,0.118265553,No data,No data,No data,No data,No data,0.556582902,ryanodine receptor 1,TRUE,,,,,,,0.4,not detected,not detected
BDNF,ENSG00000176697,0.144392933,No data,No data,No data,No data,0.481791566,No data,0.601516774,brain derived neurotrophic factor,TRUE,,,,,,,1.2,not detected,not detected
NOS3,ENSG00000187556,0.14224292,No data,No data,No data,No data,0.491220995,No data,0.588409351,nitric oxide synthase 3,TRUE,,,,,,,0.3,not detected,low
MC4R,ENSG00000166603,0.140881739,No data,No data,0.073915971,No data,0.046230333,No data,0.60687703,melanocortin 4 receptor,TRUE,,,,,,,0.6,not detected,medium
PDE6B,ENSG00000133256,0.139266919,No data,No data,0.073915971,No data,0.029566388,No data,0.600654476,phosphodiesterase 6B,TRUE,,,,,,,2.6,not detected,not detected
PRL,ENSG00000172179,0.138334272,No data,No data,No data,No data,0.415351621,No data,0.587833457,prolactin,TRUE,,,,,,,0,not detected,not detected
FKBP1A,ENSG00000088832,0.138105474,No data,No data,0.115816113,No data,No data,No data,0.445787221,FKBP prolyl isomerase 1A,TRUE,,,,,,,41.7,not detected,medium
UGT1A10,ENSG00000242515,0.137253719,0.137253719,No data,No data,No data,No data,No data,No data,UDP glucuronosyltransferase family 1 member A10,TRUE,,,,,,,0.3,na,na
ETV5,ENSG00000244405,0.136626785,No data,No data,No data,No data,0.369579855,No data,0.590738964,ETS variant transcription factor 5,TRUE,,,,,,,2.5,not detected,na
INS,ENSG00000254647,0.136306826,No data,No data,No data,No data,0.410213183,No data,0.578980834,insulin,TRUE,,,,,,,0.1,not detected,not detected
PYY,ENSG00000131096,0.135174848,No data,No data,No data,No data,0.313326063,No data,0.597542723,peptide YY,TRUE,,,,,,,0.1,not detected,not detected
IAPP,ENSG00000121351,0.133646833,No data,No data,No data,No data,0.325230272,No data,0.586926595,islet amyloid polypeptide,TRUE,,,,,,,0.1,not detected,low
KIT,ENSG00000157404,0.13309559,No data,No data,0.041577734,No data,0.105381589,No data,0.601796716,"KIT proto-oncogene, receptor tyrosine kinase",TRUE,,,,,,,28.5,not detected,medium
HTR2C,ENSG00000147246,0.132965372,No data,No data,No data,No data,0.292492412,No data,0.591703758,5-hydroxytryptamine receptor 2C,TRUE,,,,,,,0.4,na,na
POMC,ENSG00000115138,0.13250069,No data,No data,No data,No data,0.227089507,No data,0.605731073,proopiomelanocortin,TRUE,,,,,,,0.3,not detected,not detected
PDE6A,ENSG00000132915,0.13139312,No data,No data,0.073915971,No data,No data,No data,0.564570635,phosphodiesterase 6A,TRUE,,,,,,,0.2,not detected,not detected
IL6,ENSG00000136244,0.130251408,No data,No data,No data,No data,0.253852292,No data,0.587793966,interleukin 6,TRUE,,,,,,,5.3,not detected,na
HDAC6,ENSG00000094631,0.129178652,No data,No data,0.083155467,No data,No data,No data,0.541948926,histone deacetylase 6,TRUE,,,,,,,18.7,low,na
TGM2,ENSG00000198959,0.12916526,No data,No data,No data,No data,0.458176242,No data,0.531282238,transglutaminase 2,TRUE,,,,,,,18.7,not detected,na
HRH3,ENSG00000101180,0.128617471,No data,No data,0.073915971,No data,0.114569755,No data,0.537962418,histamine receptor H3,TRUE,,,,,,,0.8,na,na
BMP4,ENSG00000125378,0.128075875,No data,No data,No data,No data,0.160498009,No data,0.600254873,bone morphogenetic protein 4,TRUE,,,,,,,12,not detected,not detected
ADORA2A,ENSG00000128271,0.127907667,No data,No data,0.083155467,No data,0.038805885,No data,0.531282238,adenosine A2a receptor,TRUE,,,,,,,1.2,not detected,not detected
IGFBP3,ENSG00000146674,0.127555817,No data,No data,No data,No data,0.480787871,No data,0.517582116,insulin like growth factor binding protein 3,TRUE,,,,,,,49.2,na,na
ALMS1,ENSG00000116127,0.127109671,No data,No data,No data,No data,0.121179355,No data,0.605253514,ALMS1 centrosome and basal body associated protein,TRUE,,,,,,,11,not detected,na
APOE,ENSG00000130203,0.12669176,No data,No data,No data,No data,0.189901359,No data,0.585983462,apolipoprotein E,TRUE,,,,,,,23.5,not detected,na
UGT1A7,ENSG00000244122,0.126609397,0.126609397,No data,No data,No data,No data,No data,No data,UDP glucuronosyltransferase family 1 member A7,TRUE,,,,,,,0,na,na
UGT1A4,ENSG00000244474,0.126005624,0.126005624,No data,No data,No data,No data,No data,No data,UDP glucuronosyltransferase family 1 member A4,TRUE,,,,,,,0,na,na
CRH,ENSG00000147571,0.125893364,No data,No data,No data,No data,0.156149817,No data,0.590429365,corticotropin releasing hormone,TRUE,,,,,,,0.2,na,na
AMH,ENSG00000104899,0.125821447,No data,No data,No data,No data,0.129241042,No data,0.596796973,anti-Mullerian hormone,TRUE,—,CTB,—,,Y,TRUE,1.1,na,na
GNAS,ENSG00000087460,0.125444453,No data,No data,No data,No data,0.102783626,No data,0.601526358,GNAS complex locus,TRUE,,,,,,,43.6,not detected,not detected
PAX2,ENSG00000075891,0.125357271,No data,No data,No data,No data,0.108519938,No data,0.599656371,paired box 2,TRUE,—,—,CTB,,Y,TRUE,1.5,not detected,not detected
WNT9B,ENSG00000158955,0.125303099,No data,No data,No data,No data,0.214553362,No data,0.572877153,Wnt family member 9B,TRUE,,,,,,,0.3,not detected,not detected
KL,ENSG00000133116,0.124878228,No data,No data,No data,No data,0.121377862,No data,0.594046676,klotho,TRUE,,,,,,,0.4,na,na
LGALS3,ENSG00000131981,0.124772742,No data,No data,No data,No data,0.383182447,No data,0.528068097,galectin 3,TRUE,,,,,,,58.9,low,not detected
GHRH,ENSG00000118702,0.124540232,No data,No data,No data,No data,0.22612697,No data,0.566169417,growth hormone releasing hormone,TRUE,,,,,,,0.1,na,na
CXCR4,ENSG00000121966,0.124344937,No data,No data,0.092076714,No data,0.007391597,No data,0.505807502,C-X-C motif chemokine receptor 4,TRUE,,,,,,,6.3,na,na
ADIPOQ,ENSG00000181092,0.124280485,No data,No data,No data,No data,0.185670187,No data,0.574984879,"adiponectin, C1Q and collagen domain containing",TRUE,,,,,,,0.2,na,na
CEACAM5,ENSG00000105388,0.12381001,No data,No data,No data,No data,0.108316102,No data,0.591971026,CEA cell adhesion molecule 5,TRUE,,,,,,,0.2,not detected,not detected
ACE,ENSG00000159640,0.12372455,No data,No data,No data,No data,0.176038251,No data,0.574613187,angiotensin I converting enzyme,TRUE,,,,,,,1.4,not detected,not detected
BGLAP,ENSG00000242252,0.12363864,No data,No data,No data,No data,0.167501588,No data,0.576317805,bone gamma-carboxyglutamate protein,TRUE,,,,,,,3.4,na,na
CEACAM7,ENSG00000007306,0.123541713,No data,No data,No data,No data,0.102950167,No data,0.591971026,CEA cell adhesion molecule 7,TRUE,,,,,,,0.1,not detected,na
ZGLP1,ENSG00000220201,0.123529823,No data,No data,No data,No data,0.199624924,No data,0.567742886,zinc finger GATA like protein 1,TRUE,,,,,,,3.9,low,low
PKD1,ENSG00000008710,0.123199027,No data,No data,No data,No data,0.04409293,No data,0.604971902,"polycystin 1, transient receptor potential channel interacting",TRUE,,,,,,,6.8,not detected,not detected
CDKN1B,ENSG00000111276,0.122828992,No data,No data,No data,No data,0.053449252,No data,0.600782645,cyclin dependent kinase inhibitor 1B,TRUE,,,,,,,46.2,high,high
WWTR1,ENSG00000018408,0.122779691,No data,No data,No data,No data,0.081307568,No data,0.593571564,WW domain containing transcription regulator 1,TRUE,,,,,,,30.9,medium,medium
TNFRSF11B,ENSG00000164761,0.12254286,No data,No data,No data,No data,0.087587905,No data,0.590817324,TNF receptor superfamily member 11b,TRUE,,,,,,,0.5,not detected,not detected
RET,ENSG00000165731,0.12252268,No data,No data,No data,No data,0.04501688,No data,0.601359181,ret proto-oncogene,TRUE,,,,,,,0.8,not detected,not detected
FTO,ENSG00000140718,0.122438941,No data,No data,No data,No data,0.210660517,No data,0.559529575,FTO alpha-ketoglutarate dependent dioxygenase,TRUE,,,,,,,21.2,low,medium
MECP2,ENSG00000169057,0.122414053,No data,No data,No data,No data,0.026132712,No data,0.605537086,methyl-CpG binding protein 2,TRUE,,,,,,,29,high,medium
WNT7A,ENSG00000154764,0.122368067,No data,No data,No data,No data,0.084221089,No data,0.590785063,Wnt family member 7A,TRUE,,,,,,,0.4,not detected,not detected
PTCH1,ENSG00000185920,0.122348456,No data,No data,No data,No data,0.041423742,No data,0.601386346,patched 1,TRUE,,,,,,,5.2,medium,na
PRKAB1,ENSG00000111725,0.122332168,No data,No data,No data,No data,0.362400766,No data,0.521060648,protein kinase AMP-activated non-catalytic subunit beta 1,TRUE,,,,,,,14.2,medium,low
AHR,ENSG00000106546,0.122331281,No data,No data,No data,No data,0.232931653,No data,0.55342349,aryl hydrocarbon receptor,TRUE,,,,,,,21.3,not detected,na
NPHP3,ENSG00000113971,0.122262856,No data,No data,No data,No data,0.055436978,No data,0.597455036,nephrocystin 3,TRUE,,,,,,,19.2,not detected,high
PRLH,ENSG00000071677,0.122022721,No data,No data,No data,No data,0.044349583,No data,0.599026211,prolactin releasing hormone,TRUE,,,,,,,0,not detected,na
CGA,ENSG00000135346,0.121994975,No data,No data,No data,No data,0.061299388,No data,0.594650026,"glycoprotein hormones, alpha polypeptide",TRUE,,,,,,,0,not detected,not detected
IFT88,ENSG00000032742,0.12186011,No data,No data,No data,No data,0.018478993,No data,0.604680801,intraflagellar transport 88,TRUE,,,,,,,11.9,na,na
HOXA13,ENSG00000106031,0.1217527,No data,No data,No data,No data,0.04501688,No data,0.59750928,homeobox A13,TRUE,F,—,—,CTB,—,TRUE,0.1,na,na
RHO,ENSG00000163914,0.121619836,No data,No data,No data,No data,0.033159526,No data,0.599809299,rhodopsin,TRUE,,,,,,,0.3,not detected,na
GPC3,ENSG00000147257,0.121590416,No data,No data,No data,No data,0.018478993,No data,0.603332332,glypican 3,TRUE,,,,,,,6,na,na
HFE,ENSG00000010704,0.121570302,No data,No data,No data,No data,0.081153576,No data,0.587563118,homeostatic iron regulator,TRUE,,,,,,,8.1,not detected,low
ASIP,ENSG00000148498,0.121542302,No data,No data,No data,No data,0.011087396,No data,0.604939664,agouti signaling protein,TRUE,,,,,,,28.4,not detected,na
BCL2,ENSG00000171791,0.121533781,No data,No data,No data,No data,0.055016487,No data,0.593914785,BCL2 apoptosis regulator,TRUE,,,,,,,18.2,high,na
GLI3,ENSG00000106571,0.121450935,No data,No data,No data,No data,0.025088312,No data,0.600982596,GLI family zinc finger 3,TRUE,F,—,—,,—,TRUE,17.6,not detected,low
IGF2R,ENSG00000197081,0.121356332,No data,No data,No data,No data,0.011087396,No data,0.60400981,insulin like growth factor 2 receptor,TRUE,,,,,,,18,not detected,na
GCG,ENSG00000115263,0.121178524,No data,No data,No data,No data,0.298441524,No data,0.531282238,glucagon,TRUE,,,,,,,0.2,not detected,not detected
PDE3B,ENSG00000152270,0.121162983,No data,No data,0.073915971,No data,No data,No data,0.513419952,phosphodiesterase 3B,TRUE,,,,,,,0.9,na,na
NHLH2,ENSG00000177551,0.12115026,No data,No data,No data,No data,0.028950422,No data,0.598513694,nescient helix-loop-helix 2,TRUE,,,,,,,0.2,na,na
IRS2,ENSG00000185950,0.121104812,No data,No data,No data,No data,0.027860161,No data,0.598559021,insulin receptor substrate 2,TRUE,,,,,,,27.1,not detected,na
FAS,ENSG00000026103,0.121008904,No data,No data,No data,No data,0.092600286,No data,0.581894451,Fas cell surface death receptor,TRUE,,,,,,,24.7,na,na
TCF7L2,ENSG00000148737,0.120994612,No data,No data,No data,No data,0.036957985,No data,0.595733564,transcription factor 7 like 2,TRUE,,,,,,,25.6,high,na
PKD2,ENSG00000105287,0.120942406,No data,No data,No data,No data,0.022174791,No data,0.599168331,"polycystin 2, transient receptor potential cation channel",TRUE,,,,,,,17,not detected,medium
LPO,ENSG00000167419,0.120934741,0.120934741,No data,No data,No data,No data,No data,No data,lactoperoxidase,TRUE,,,,,,,0,not detected,not detected
KSR2,ENSG00000149970,0.120819971,No data,No data,No data,No data,0.014783194,No data,0.600404056,kinase suppressor of ras 2,TRUE,,,,,,,1.9,na,na
CPE,ENSG00000109472,0.120760858,No data,No data,No data,No data,0.007391597,No data,0.601956392,carboxypeptidase E,TRUE,,,,,,,23.4,not detected,not detected
PDGFRB,ENSG00000113721,0.120752625,No data,No data,0.041577734,No data,0.038805885,No data,0.547479191,platelet derived growth factor receptor beta,TRUE,,,,,,,46.5,medium,not detected
CEACAM1,ENSG00000079385,0.120704079,No data,No data,No data,No data,0.046197482,No data,0.591971026,CEA cell adhesion molecule 1,TRUE,,,,,,,2.5,not detected,not detected
PKHD1,ENSG00000170927,0.120659695,0.000172181,No data,No data,No data,0.018478993,No data,0.598583072,PKHD1 ciliary IPT domain containing fibrocystin/polyductin,TRUE,,,,,,,0.1,not detected,na
THRA,ENSG00000126351,0.120570016,No data,No data,No data,No data,No data,No data,0.602850079,thyroid hormone receptor alpha,TRUE,,,,,,,46.5,medium,na
IGF2,ENSG00000167244,0.120566661,No data,No data,No data,No data,0.095634375,No data,0.57892471,insulin like growth factor 2,TRUE,,,,,,,20.4,not detected,not detected
B3GNT5,ENSG00000176597,0.120558589,No data,No data,No data,No data,No data,No data,0.602792947,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 5",TRUE,,,,,,,4.2,not detected,na
NPY1R,ENSG00000164128,0.120485125,No data,No data,No data,No data,No data,No data,0.602425623,neuropeptide Y receptor Y1,TRUE,,,,,,,1.8,na,na
ADCY3,ENSG00000155897,0.120408791,No data,No data,No data,No data,0.007391597,No data,0.600196058,adenylate cyclase 3,TRUE,,,,,,,0.3,not detected,low
CD36,ENSG00000135218,0.120401182,No data,No data,No data,No data,0.117822106,No data,0.572550385,CD36 molecule,TRUE,,,,,,,2.5,not detected,not detected
